fid,ID,LIVE,MAKE,SHOP,y2,p_land,mh01,mh02,mh03,mh04,mh06,mh07,ALAND
20718,52371343967,,,,49237,49237,,,,1,,,0
20719,52371343968,,,,49082,49082,,,,1,,,0
20720,52371343969,7095,,,67507,67507,,,,,,,1
20721,52371344960,10585,,,67186,67186,,,,,,,1
20722,52371343971,,,,43782,49063,,,,1,,,1
20723,52371343972,,,,48954,48954,,,,1,,,1
20724,52371343973,,,,48868,48868,,,,1,,,1
20725,52371343974,,,,48764,48764,,,,1,,,1
20726,52371343975,,,,48647,48647,,,,1,,,1
20727,52371343976,,,,48579,48579,,,,1,,,1
20728,52371343977,,,,48471,48471,,,,1,,,1
20729,52371343978,,,,48324,48324,,,,1,,,0
20730,52371343979,1712,,,66473,66473,,,,,,,0
20731,52371344970,9415,,,66167,66167,,,,,,,1
20732,52371343981,,,,43098,48297,,,,1,,,1
20733,52371343982,,,,48193,48193,,,,1,,,1
20734,52371343983,,,,48105,48105,,,,1,,,1
20735,52371343984,,,,48006,48006,,,,1,,,1
20736,52371343985,,,,47886,47886,,,,1,,,1
20737,52371343986,,,,47821,47821,,,,1,,,1
20738,52371343987,,,,47718,47718,,,,1,,,1
20739,52371343988,,,,47578,47578,,,,1,,,1
20740,52371343989,,,,47402,47402,,,,1,,,0
20741,52371344980,106,,,65163,65163,,,,1,,,0
20742,52371343991,,,,42426,47543,,,,1,,,1
20743,52371343992,,,,47444,47444,,,,1,,,1
20744,52371343993,,,,47353,47353,,,,1,,,1
20745,52371343994,,,,47259,47259,,,,1,,,1
20746,52371343995,,,,47136,47136,,,,1,,,1
20747,52371343996,,,,47074,47074,,,,1,,,1
20748,52371343997,,,,46976,46976,,,,1,,,1
20749,52371343998,,,,46843,46843,,,,1,,,1
20750,52371343999,,,,46675,46675,,,,1,,,1
20751,52371344990,,,,46473,46473,,,,1,,,0
20752,52371353901,,,,41762,46800,,,,1,,,1
20753,52371353902,,,,41678,46706,,,,1,,,1
20754,52371353903,,,,46613,46613,,,,1,,,1
20755,52371353904,,,,46523,46523,,,,1,,,1
20756,52371353905,,,,46399,46399,,,,1,,,1
20757,52371353906,,,,46338,46338,,,,1,,,1
20758,52371353907,,,,46245,46245,,,,1,,,1
20759,52371353908,,,,46118,46118,,,,1,,,1
20760,52371353909,,,,45957,45957,,,,1,,,1
20761,52371354900,,,,45765,45765,,,,1,,,1
20762,52371344911,837,9736,,49897,52358,,,,,,,1
20763,52371344912,,10573,,49699,52150,,,,,,,1
20764,52371344913,,10573,,49468,51908,,,,,,,1
20765,52371344914,,10573,,49456,51895,,,,,,,1
20766,52371344915,,10573,,49398,51835,,,,,,,1
20767,52371344916,,8798,,49293,51724,,,,,,,1
20768,52371344917,,5047,,49142,51566,,,,,,,1
20769,52371344918,,4448,,48946,51360,,,,,,,1
20770,52371344919,,,,51109,51109,,,,,,,1
20771,52371345910,,,,50816,50816,,,,,,,1
20772,52371344921,7843,2730,,71182,71182,,,,,,,1
20773,52371344922,168,10405,,70910,70910,,,,,,,1
20774,52371344923,,10572,,48709,51111,,,,,,,1
20775,52371344924,,10572,,48681,51082,,,,,,,1
20776,52371344925,,10572,,48627,51025,,,,,,,1
20777,52371344926,,8911,,48527,50921,,,,,,,1
20778,52371344927,,,,50770,50770,,,,,,,1
20779,52371344928,,,,50575,50575,,,,,,,1
20780,52371344929,,,,50337,50337,,,,,,,1
20781,52371345920,,,,50058,50058,,,,,,,1
20782,52371344931,10585,,,70083,70083,,,,,,,1
20783,52371344932,5863,4722,,69825,69825,,,,,,,0
20784,52371344933,,10585,,47971,50337,,,,,,,1
20785,52371344934,,10585,,47919,50282,,,,,,,1
20786,52371344935,,10585,,47867,50228,,,,,,,1
20787,52371344936,,10576,,47773,50129,,,,,,,1
20788,52371344937,,1410,,47637,49986,,,,,,,1
20789,52371344938,,,,49801,49801,,,,,,,1
20790,52371344939,,,,49575,49575,,,,,,,1
20791,52371345930,,,,49310,49310,,,,,,,1
20792,52371344941,10572,,,68997,68997,,,,,,,1
20793,52371344942,10560,12,,68752,68752,,,,,,,1
20794,52371344943,3766,6806,,68451,68451,,,,,,,0
20795,52371344944,,10572,,47167,49493,,,,,,,1
20796,52371344945,,10572,,47118,49442,,,,,,,1
20797,52371344946,,10572,,47029,49348,,,,,,,1
20798,52371344947,,4685,,46899,49212,,,,,,,1
20799,52371344948,,,,49036,49036,,,,,,,1
20800,52371344949,,,,48821,48821,,,,,,,1
20801,52371345940,,,,48569,48569,,,,,,,1
20802,52371344951,10572,,,67929,67929,,,,,,,1
