"","ID","original","if_jukyo","if_shogyo","if_kogyo"
"2120",52370219956,1419701228.80154,70985.0614400772,102056.391646542,49427.002118242
"2121",52370219957,1361568502.22297,70002.7399931956,100644.091927813,48743.0102578307
"2122",52370219958,689626838.525102,68962.6838525102,99148.7860891646,48018.817645669
"2123",52370219959,678739112.263795,67873.9112263795,97583.4397572433,47260.7036734289
"2124",52370219960,1394777268.99964,76733.7707613279,110321.405693856,53429.836827887
"2125",52370219961,777815172.758169,76268.5385221768,109652.533643284,53105.8949392206
"2126",52370219962,756813139.120788,75681.3139120788,108808.271152319,52697.0095842125
"2127",52370219963,749817324.354728,74981.7324354728,107802.47134435,52209.8899786984
"2128",52370219964,756519737.340436,74180.4181133854,106650.408549335,51651.9336440599
"2129",52370219965,1182682251.36851,73288.4991668291,105368.081993859,51030.8891768665
"2130",52370219966,1324608191.91428,72317.185763726,103971.608720925,50354.5622334409
"2131",52370219967,1421239360.10995,71277.4297252278,102476.734344132,49630.5785828711
"2132",52370219968,809525758.849519,70179.6714670902,100898.469221121,48866.2079019203
"2133",52370219969,690336686.248318,69033.6686248318,99250.8420651408,48068.2444464737
"2134",52370219970,1148893212.07867,78377.6650255701,112684.85954532,54574.4828087805
"2135",52370219971,778763971.608501,77876.3971608501,111964.178482519,54225.4492613173
"2136",52370219972,772451132.670664,77245.1132670664,111056.571233935,53785.8853626286
"2137",52370219973,764950145.59928,76495.014559928,109978.14197183,53263.5905355977
"2138",52370219974,756383175.967994,75638.3175967994,108746.454641881,52667.0711869881
"2139",52370219975,746876660.035652,74687.6660035652,107379.687193205,52005.1310919983
"2140",52370219976,736556356.522033,73655.6356522033,105895.920164017,51286.5268486828
"2141",52370219977,942631521.625868,72554.3530130118,104312.587980333,50519.7021360487
"2142",52370219978,924069006.442464,71395.2273097577,102646.093871023,49712.6012132945
"2143",52370219979,701887841.04512,70188.784104512,100911.570609987,48872.5530446872
"2144",52370219980,1137874637.99543,80050.5319876769,115089.967921559,55739.3025215786
